Restaurant Name,Restaurant Type,Reviewer's Name,Rating,Comment,rating_class_main,rating_for_comment
Salt tapas & bar,"Bar, Mediterranean",ntan002,3,"Easily accessible as it is next to one of the main MRT station in Singapore.

Ambience is nice and cosy. 

Selection and standard of food is ok. I would say average. Ribs were a tad too tough and dry. 

Service can be improved. We asked ",0,0
Peach Blossoms,"Chinese, Asian",Willowsinoz,3,"We went here thinking it would bea fine dining experience, but left feeling that it was just an expensive meal.
We chose an option with 5 courses and three matching wines.
Unfortunately there was a hair in my starter, I felt the beef steak in ",0,-1
Three Buns Quayside,"American, Bar",Tazziejosh,1,"Had a horrible experience here. Stopped in for quick bite. They forget our food even after we asked 3 times, when it came food was very average & then they asked us to move from our table because we’d taken so long and they had ",-1,-1
Ikoi Japanese Restaurant,"Japanese, Sushi",Faith L,3,"Had a dinner here with my colleagues. It is ala carte buffet. Nothing too fenciful. Good for those who loves to eat quantity rather than quality. Would recommend the sashimi, the japanese porridge, fried fish skin handroll, grilled salmon. However, for those looking for quality ",0,0
Waku Ghin,"Seafood, Asian",zephyrtan,5,"If You're In A Rush For Meeting , Theatre Or Something Else Dining At The Bar At Waku Ghin Definitely A Good Option Food Was Great Drink List Is Remarkable Most Importantly The Service",1,1
No Signboard Seafood,"Chinese, Seafood",imurgodak,3,Ordered chili and white pepper crab. Seemed not as fresh as our other experiences in Singapore and Malaysia of the same dish. Maybe experts can speak to it more. See pictures.,0,-1
Element at Amara Singapore Hotel,"Seafood, International",jy_kool,5,"We went for the buffet dinner at Element Restaurant and it offers a wide variety of food. Seafood on ice was very fresh, main course was awesome with their black paper crayfish and chili crabs. Deserts and ice cream was super tantalizing. Worth the visit.",1,1
Bayswater Kitchen,Seafood,ValeryL974,5,"It was amazing, we've had dinner set as well as some seafood from the a la carte. Everything was amazing. It was our second time here, first time was this Wednesday. Great place, great service, great food, great atmosphere and great value for money!",1,1
Prive Wheelock,"Bar, Cafe",567chantalb,2,"Ordered the Vegetable Thai Green Curry today. I was really disappointed when the the curry arrived without any of the vegetables listed in the food description. No carrots, egg plant, potatoes, or cabbage, instead those veggies were replaced with mushrooms. It would have been nice ",-1,-1
Oasis,"Barbecue, International",BrigitteGolightly,2,"I've been to this restaurant several times over the last year as I am member of the spa and this restaurant is just next door. So, I've eaten here on at least half a dozen occasions only because it is convenient. 

this bistro by the ",-1,-1
Por Kee Eating House,"Chinese, Seafood",Margaret S,3,"First time there was early 6.30pm for dinner had a bit crowd. Was told have to make reservations luckily my niece had a friend who's regular so they give us a table.
We order butter prawn, roast pork, tah fu, veg and a whole duck ",0,0
Hillman Restaurant,"Chinese, Asian",kapitanchina,3,"We had been to its other outlet Manhill @ Pasir Panjang Road, and thought we give the Hillman outlet a try.  We only enjoyed the Pot Beef, and not the Claypot Noodles and the Claypot Sea Cucumber.  The three items cost $44.00 in total.  If ",0,0
Tapas Club,"Mediterranean, European",Paulinetkh,3,"Cold cut platter - preferred the previous version that came with some cheese
Mussels - not fresh and not much flesh
beef cheek, lamb, garlic prawns, churros - still ok
Squid ink paella - thinnest layer i have seen; not much flavour
have dined here ",0,0
Tapas Club,"Mediterranean, European",AshishS3264,2,There were very few guests but the staff seems to be ignorant. They were not attentive and not willing to answer the questions regarding the food. Food was just average. But very disappointed with the staff and service and cold behaviour.,-1,-1
Pacamara Singapore,Cafe,ZoeT1237,3,"I have been to Pacamara a couple of times, but i do think the standards have dropped a little. Nonetheless a nice place for brunch with friends or family. Crab benedict is nice, sweet potato fries is nice as well.

Their coffee beans might changed ",0,0
Fresh Fruits Lab,Cafe,DrAcuL0ra,3,"This is an insta-worthy cafe with all the lovely decors. It is also family friendly. However, I find that the food is average, to my taste. The cake is not bad though.",0,0
The Penny Black Victorian London Pub,"Bar, European",Bob M,4,"Decent choice of (pricey) beer, and whilst the food isnt great it is better than Harry's (next door). The pizzas they bring in from outside but are pretty good. Staff are friendly and reasonably efficient. Nice to sit outside on the riverfront and watch the ",1,1
Sarnies,"Cafe, International",AK6,3,"Have been visiting Sarnie for many years to enjoy their coffee, which is very good. 

Normally don't eat there as it's very packed and noisy at lunch time. Are  the Moroccan chicken salad at the recommendation of their team. The helping of chicken is very ",0,0
Vatos Urban Tacos,"Mexican, Bar",teogigi,2,"We were a group of three and we came 5 minutes early before our reservation time at 8:15PM. 

We were told to wait, and wait, and WAIT, and we were then told our seats are bar seats. Mind you, we are a group of 3, ",-1,-1
Chijmes Lei Garden Restaurant,"Chinese, Asian",SandraTripper,3,Dined with 5 friends from Australia. Highly amused that the described rack of lamb was one chop. Another choice of braised birds nest was a very small soup bowl for $48. Laughed that it was fortunate we didn’t choose to share our selections. Really disappointing,0,-1
Knots Cafe and Living,Cafe,Jinyu2015,1,"Another hipster cafe, so I was not expecting much in terms of food quality.unfortunately, the food is way below par. We ordered the breakfast waffle and a fruit salad. The waffle came soggy and feels like undercooked. The salad was drenched with so much dressing ",-1,-1
Ikea Cafeteria,"Cafe, European",582edmundk,1,"Crowded, noisy, rude, bad table manners, dirty, inconsideration.  Having been a student in Sweden and visited Ikea, the local joint is a disgrace and let down. The taste of meatballs and soup is far off the mark. Training videos instructing local visitors on better dining ",-1,-1
The Clifford Pier,"Chinese, Asian",Leif D,3,"The buffet was nice, but even if the restaurant was more or less empty the service was poor. The best part was looking at the Marina Bay Sands light show . Nice drinks!",0,0
River Wok Singapore,"Seafood, Asian",W9655XRlindaf,2,"I wanted to like this restaurant but each dish we chose disappointed us. If you’ve been to Vietnam, Thailand, Cambodia or Laos and loved the food then like us you’ll probably be underwhelmed with River Wok.",-1,-1
PS.Cafe Harding,"Cafe, European",Monstercookie20,4,Cherry is the Best waitress in singapore! Super friendly and helpful not like the other waitress who was arranging the waiting line. Cherry was very kind and kept filling us in on the food update! Veryy nicee!! Wohooo BUTTTT The girl in the cashier is,1,1
The Clifford Pier,"Chinese, Asian",_flyholiday17_,3,"Kinda disappointed as Lobster roll sold out during dinner time and the servers look pretty newbie. 
An encounter with a female server whom lay side dish out and my phone was in the way, she utter nth but look at me expecting me to shift ",0,-1
Gudetama Cafe,Cafe,Iamgracelee,3,Loving the cute and cozy restaurant full of Gudetama characters. The Shiok Pork Ribs is good for 2 persons but the ribs taste a bit dry. I like the butterscotch latte.,0,0
Nanjing Impressions,"Chinese, Asian",Sychim,4,"The Singapore outpost of a Chinese chain, Nanjing Impressions serves cuisine from, you guessed it, Nanjing! The restaurant spared no expense in decor and reminds one of a Chinese teahouse, complete with traditional music in the background. I tried 2 of their specialties- noodles in ",1,0
Pietrasanta,"Italian, Mediterranean",MarcoB3193,3,"Visited at their new premise in Fusionolopolis, dined at the alfresco area, the place is quiet and nice.
Service is kind and fast, nothing to say.
Food wise, I was a bit disappointed, I talk for what we tried:
- pici al sugo di quaglia cacio e pepe: for 29 SGD the quantity of pasta was ridiculous. I don't love the huge portions, but here at least 2 more forkfuls were welcome. Maybe they did a mistake?
 - pizza is nothing special, moreover it was burned, thing that spoiled the taste of it.
- tiramisu: 16 sgd, definitively overpriced.
Conclusion: for the price paid, I am a bit disappointed. Not sure I will come back again.",0,0
mezza9,Singaporean,Weejiayi,2,We are members and regulars of mezza9 but we’re very disappointed tonight with the food and especially the service. We arrived at 630pm on a Sunday night well before peak hour. The place was barely half full yet service for everything took very long. We,-1,-1
The Banana Leaf Apolo,"Indian, Asian",matty2481,2,Food was ok service as you would expect in a place like this. Warning the beer is expensive $7 a small bottle. Have a look out on the street for better $7 a small bottle.,-1,-1
