Restaurant Name,Restaurant Type,Reviewer's Name,Rating,Comment
Positano @ RP,"Italian, European",aisvslife98,5,"I enjoyed my time here with my girlfriends! Fajar, our server, gave recommendations for food and drinks which were fantastic and check up on our meals twice. Ordered a dessert to celebrate two of my girlfriend's birthdays, and exceeding my expectations came with another complimentary dessert!  Second time here, and service is great as usual! Thank youMore"
Positano @ RP,"Italian, European",Odyssey44198198885,5,Wonderful and amazing service experience. Definitely will return for dining again next time in the future.
Positano @ RP,"Italian, European",Ninifazelin,5,Great food and wonderful service! Will definitely return. The calzone is recommended. Friendly and attentive staff. Good variety of foodMore
Positano @ RP,"Italian, European",Amaliamazlan,5,"Not my first time in Positano and definitely won't be my last. Such amazing service and such delicious food. Despite the restaurant being full, food will always be nice. I will be back soon! Can't wait to see the upgrade!More"
Positano @ RP,"Italian, European",Shahzanstim,5,Excellent service from the staff. The beef was so tender and the risotto was nice! Would definitely recommend it!More
Positano @ RP,"Italian, European",Angieeepohaq,5,"Place has great food, great ambience and the staff are very friendly. Shout out to Naufal and Ain for their pleasant service."
Positano @ RP,"Italian, European",957irwani,5,"Best place to chill in business enviroment.
Naufal and ain complete my bdae!!
The food was awesome.
The cleaniess and ambience is superbMore"
Positano @ RP,"Italian, European",538abdulr,5,"Love their risotto.
This is the third time coming here.
It won't be the last. 
Highly recommended if you love Risotto.
Truffle Mushroom Risotto is a must try here."
Positano @ RP,"Italian, European",Nurliahmn,5,From food to service to ambience. Everything is great! Must try their pizza. Unique and delicious. 👍🏼👍🏼More
Positano @ RP,"Italian, European",faithfu7,5,"Great food . Love the pasta , milk shake . Staff was attentive and prompt . We had the truffle fries , seafood linguine and the roche milk shake . Would recommend !More"
Positano @ RP,"Italian, European",elzafarz,5,"the food were really delicious, but the staff made the dining experience even better. really good service and friendly :)More"
Positano @ RP,"Italian, European",deelxoxo,5,Food is really delicious & worth every penny. I would definitely recommend this to my friends & family!More
Positano @ RP,"Italian, European",998syuh,5,"Good food and service!
Love the squid ink pasta and lasagne.
People here are very friendly and awesomeeeeeeeMore"
Positano @ RP,"Italian, European",TravelFreak4Lyf,5,"Very tasty food with a wonderful menu, Naufal and the manger took care of us very well. Nice place for a good dinnerMore"
Positano @ RP,"Italian, European",Chuanhantravels,5,"Service was awesome very friendly staff, food was prepared nicely and tasted great. Great ambience for dinning, was relaxing which elevated my dinning experience.

Auntie Kamila was very nice and super bubbly! Will be back :)More"
Positano @ RP,"Italian, European",NessNN13,5,Excellent and prompt service both times I came here. The food is great and the wait staff is very attentive. Would come here again!More
Positano @ RP,"Italian, European",Dodes39,5,"Our first dining experience with Positano and its a WOW for all the food and their Tiramisu!
Portion & Price just worth it 😍More"
Positano @ RP,"Italian, European",SammySamster101,5,Excellent food and lovely service. We had the margarita pizza and ragu pasta. I highly recommend both.
Positano @ RP,"Italian, European",Matsayshi29,5,First time here and truly wowed by the quality of their food and service. Portion wise is pretty huge too. Highly recommended for people who loves Italian food and wants to explore a new place.
Positano @ RP,"Italian, European",idza2425,5,Great Food   I’m a fan. Well thought on the menu varieties. The service was excellent. Not to mention the food were amazing  Well done and definitely  recommended!More
Positano @ RP,"Italian, European",Parvin_Marican-2021,5,"Calamari was grilled to perfection, pizza crust complemented the filling well and the beef ragu pasta, as always, scrumptious!More"
Positano @ RP,"Italian, European",ShahidaASingapore,4,"The ragu here never disapppoints. If you love seafood, try the calamari (deep-fried and grilled versions, absolutely delicious) and spicy seafood supreme aglio (with succulent prawns and scallops). The truffle vegetarian pizza is very unique due to the addition of figs. Only don't order the More"
Positano @ RP,"Italian, European",cynisque,5,"Love the beef ragu, calamari 2 ways and truffle vegetarian pizza! We thought the signature lasagna was so-so though. Had a good wrap up for the night with the tiramisu and sticky date. Not too sweet. Will return for other dishes! Great service too."
