Reviewer's Name,Rating,Comment,Restaurant Type,Restaurant Name
bee355,5,"Parents and husband enjoyed the soft serve and waffles thoroughly. Found it light yet satisfying, despite after having a full lunch!","['Dessert', 'Cafe']",Sunday Folks
angelachen1910,4,"When we arrived for our appointment/ booking the staff was really friendly and polite! The food however, understandably took a while to come as it was really busy. We ordered the waffle with Gula Melaka Sea-salt ice cream and while that part of the dessert was great, it started to get cloying sweet despite myself having a sweet tooth. The watermelon lime pop was rather disappointing as it tasted like really sour lime soda with no hint of watermelon in spite of the watermelon chunks placed inside - we expected a watermelon base with hints of lime as with most places. - Really recommend their hot chocolate though!More","['Dessert', 'Cafe']",Sunday Folks
smhisham,5,"Love every dessert ordered, even the coffee, A-awesome. Gotta say the service by these two girls who seemed to look alike was superb.","['Dessert', 'Cafe']",Sunday Folks
Alex A,5,Superb service and excellent waffles and ice cream! Cozy ambience. Best place to spend a lazy indulgent Sunday!,"['Dessert', 'Cafe']",Sunday Folks
ZhenJing A,5,Enjoy our Sunday afternoon with the Yummy waffles and ice creams! Worth to visit but too bad the pistachio flavor has discontinued,"['Dessert', 'Cafe']",Sunday Folks
Jenny Y,5,Love the earl grey lavender ice cream sits on top of single waffle with fresh strawberries. Dark choco ferrero is amazing too!,"['Dessert', 'Cafe']",Sunday Folks
sowmyai5,3,"I have been to Sunday Folks before and have enjoyed my time but sadly, this time round was a huge let down. They no longer have the pistachio and vanilla flavours, the soft serve is hollow inside (they just make a large outside cone so they essentially give less ice cream than before) and they don't even give it on the thin chocolate wafers anymore, but rather just a dull marie biscuit. The taste overall also seemed rather lackluster and just was not worth the price.","['Dessert', 'Cafe']",Sunday Folks
darkhonour,5,"I visited Sunday Folks as they had the kaya toast ice cream special. The cafe only opens on Friday, Saturday and Sunday and the crowd builds up early on (they open at 1pm). If you do not like crowds and are alone, you should consider to come on Friday during opening time. (It is really busy after 1.30pm even on Friday, let alone the weekend) - which is why I made a reservation in the first place!

The staff at the cafe exemplifies good service standards which stands out from similar cafes in Singapore. I have been to cafes where they are much pricier than Sunday Folks yet do not practise good service quality.

I will definitely be back for a repeat visit, especially if they have some new upcoming special!More","['Dessert', 'Cafe']",Sunday Folks
Marcusmeow,5,"Went here for a high tea session with friends and was pleasantly greeted with nice ambience and their Dark Chocolate Ferrero ice cream which is made with delicious 55% dark couverture chocolate and fragrant hazelnut paste. Every luscious swirl is bursting with cocoa flavours and hints of roasted hazelnuts. On top of it, there is also caramel marshmallows, chocolate hazelnut sauce and more roasted hazelnuts for a truly indulgent treat!More","['Dessert', 'Cafe']",Sunday Folks
princesspreets,4,"we were really looking forward to waffles, but were so sad to find out that the menu has been changed and there's no waffles right now! the churros were good, but as they were sugar coated, felt that it adds up to too much sugar overdose as the icecreams and toppings are all mostly very sweet too. would be good to have a more balanced menu/offering. great service and attitude from all the staff as alwaysMore","['Dessert', 'Cafe']",Sunday Folks
