Reviewer's Name,Rating,Date,Comment,Restaurant Type,Restaurant Name
Margot C.,5,2020-03-19,"My boyfriend and I came here for dinner while in Singapore and we were so happy we did. We ordered chilli crab, mantou buns, and cereal prawns. We loved everything and had a delicious meal.We got the dungeness crab, which I highly recommend because it had a ton of sweet crab meat. It went really well with the chilli sauce. You must also get the mantou buns to sop up some of the sauce. They are deep fried, slightly sweet bread rolls that are absolutely delicious. I highly recommend getting both of these if you come here. We had chilli crab at a hawker center and enjoyed it, but preferred it with the dungeness crab we got here to the mud crab at the hawker center.The cereal prawns were also delicious. They come butterflied in a crispy cereal coating, that has seasonings like chili and curry leaves in it. They are fairly mild in flavor, but were delicious. I highly recommend also getting these.Service wasn't overly friendly but was fairly quick. The place is definitely more expensive than a hawker center will be, but not outrageously expensive. I would recommend coming here if you're looking for good chilli crab in a higher end place.","['Hainan', 'Chicken Shop']",Tian Tian Hainanese Chicken Rice
Kira N.,4,2020-02-10,"196 SGD (Singapore Dollar) for some crab and fish seems like we were gettin' played by our Singaporean brothas and sistuhs, but no, we just had no idea what the hell we were ordering. Just look at the sgd/gram and order the amount of grams u want to pay, or that will satisfy ur belly. Don't order an entire fish & crab if u don't want to spend close to 200 SGD!!I must admit, the soon hock fish was phenomenal! Cooked to perfection in that wow, I can't believe garlic ever tasted this good sauce!! They don't make fish like THIS in the states! The crab was delicious, but ma & pa makes me better crab, so gotta knock off a star. There was ample supply of crab meat & the meat itself was sturdy & full of flavor, but we didn't really enjoy the famous Singapore chili sauce that the crab was drenched in. Service was nice as this was a super messy meal and our server provided us with a good supply of napkins and wet wipes. If u don't want to smell like u've just rolled in some fine fish and crab, u can wash ur hands at the sink inside the restaurant when u're all fished and crabbed out! This is a seafood chain in Singapore, and unless u've dreamt of visiting Singapore just to get a taste of the seafood here, then just walk on by my friend, cuz u can have the same quality tasting seafood for a better price point at one of the many food hawkers around town!! Happy hawking!!!","['Hainan', 'Chicken Shop']",Tian Tian Hainanese Chicken Rice
Diane C.,2,2019-11-19,"Holy cow! Totally wish we stuck with the street food and hawker stands. Waited all day to come try Jumbo Seafood for dinner and was so disappointed! The whole dining experience was meh. There was only one person taking orders, you can't just ask anyone to take your order or grab the server, you'd just get brushed off. There were 4.5 of us dining, 4 adults and a child. We ordered the chili crab, Chinese broccoli, small order of fried rice, small order of noodles and 4 bamboo clams which was a little more than we were capable of eating. Nothing really wow'ed us, we were really underwhelmed especially for the price we paid. Honestly, every hawker stand we tried, the food was SO good! Being that this was the most expensive meal of our trip, we were slightly bitter and disappointed.","['Hainan', 'Chicken Shop']",Tian Tian Hainanese Chicken Rice
Steve H.,5,2019-12-08,"Jumbo seafood is the place to go for crabs. My parents actually went there three out of the four days that we were in Singapore. With all the food choices, that's a big endorsement. Unfortunately, they were out of the Alaskan crab the night that I went, but we opted for Dungeness crabs and they were still delicious. Everybody raves about the chili crab, but to me the salted egg crab was slightly better, but honestly, you can't go wrong with either choice. The chili crab has a thick sauce and a light heat that lingers. The salted egg is a little dryer but the saltiness goes great with the crab. The fried rice was also a winner but the crabs are why you come here. Sure, it's a little pricey, but it's well worth it. You can't come to Singapore without stopping by a Jumbo Seafood location to grab some crabs.","['Hainan', 'Chicken Shop']",Tian Tian Hainanese Chicken Rice
Lan T.,4,2019-08-21,"During my 3 days stay in Singapore in March of 2019, I cannot not try the Singapore Award Winning Chilly Crab here!! I was sooo excited to come, and I have to say, by far, it is the best crab I've ever had in my life!!The sauce of the crab was soupy and you can dip with bread or donut. I just ate it by itself, and I finished the whole crab plus all the sauce!! Didn't waste any tiny bit!! Well, I did say it was the best crab of my life!!! During the past 5 months, I have tried a couple of Malaysian and Chinese restaurants in the Northeast and haven't found anything that was close to this!! I should have bought the Chilly Crab seasoning that the restaurant also sells!!My bf didn't want to try any of my crab, because he heard from many people who got sick with food in Asia, and he was extremely careful! I didn't care because I was born and raised in Asia for 19 years before I came to the states!! He ordered a seafood clay pot instead, which looked boring haha! Well, that's his choice and nothing outside of the expectation!!!But it is due to this disk that I am taking off a star!! He got very very sick after this disk! I am not sure if some of the fish cake that he got was old or he was just not used to the food, but he started going to the bathroom twice before I even finished my meal!! OMG, poor guy!!!We stayed at the Marina Bay and he almost didn't make it back to the hotel! That was his experience in Asia: didn't get sick in a third world country, Vietnam, eating all the street food, but yet, got sick in a restaurant in Singapore, and it was not cheap! The bill came around $130 Singapore dollars! I know it was because of my chilly crab! His disk wasn't that expensive. I still love my chilly crab and want to come back to Singapore for this, but next time, my bf for sure will just watch me eat!!!","['Hainan', 'Chicken Shop']",Tian Tian Hainanese Chicken Rice
Kevin C.,4,2019-08-19,"A Singapore institution that never disappoints! Situated on the shores of the River, this beautiful setting in a warm Singapore evening watching the people cruise by.We started with a squid appetizer followed by Pepper Crab and Chili Crab.  Crab comes with amazing sauce that cannot be described. Perfect little dough balls for mopping up the extra sauce. Love this place.","['Hainan', 'Chicken Shop']",Tian Tian Hainanese Chicken Rice
Prima S.,4,2020-03-08,"I was recommended this restaurant by someone who grew up in Singapore, so I had to trust their recommendation!I highly recommend purchasing the Klook voucher before you come here as the food is quite expensive here. I ordered a chilli crab, and while it was absolutely delicious, it would cost me about 100 SGD if I had not purchased the Klook voucher.I came here for lunch and since I was here on my own, it took about 20 minutes to get a seat without a reservation. They asked if I minded sharing a table with another party, and I said no because I knew I would get seated sooner. I was seated next to a girl about my age and her mother, so it was all pleasant.I ordered the smallest size chilli crab and used my hands to break into the crab, along with the tools they provided to crack the shell. I noticed some other people were provided with gloves, and I think it's not fair that they did not even mention that they had gloves available. Maybe this would be something I'd be aware of if I ate more messy seafood or if I were a Singapore local?Big note: They will offer you peanuts and tea as if they don't cost extra, but they do!! So if you're trying to save some money, refuse the peanuts and tea. Just get some water (though that still costs extra regardless of choosing bottled or tap water).Another note: They don't have napkins or anything at the table, so if you need wet napkins, definitely call someone over to provide you with some. You will definitely need wet wipes because chilli crab gets messy.Anyway, the chilli crab was very delicious; I basically devoured the chilli sauce and the crab was yummy too. The DIY breaking into the crab was fun but super messy. I'd probably be happy with having any seafood with the chilli sauce, but without the mess.Since I am just one person, I wasn't able to try any of the other delicious items they have. I hope I'll be back here with some friends and try the cereal prawns!","['Hainan', 'Chicken Shop']",Tian Tian Hainanese Chicken Rice
Yi Z.,5,2019-05-03,"I am aware that Jumbo Seafood is a total tourist trap and that prices are high. That said, I was taken to a ""non-touristy"" chilli crab spot by someone who lived in Singapore previously and did not enjoy the crab at all. Since this was his first trip to Singapore, I figured why not go with Jumbo. I made a reservation for prime dinner time about 45 days in advance. You don't need to book that far ahead but you do need to book early.Since it was only the two of us, we didn't want to order too many items. We ended up getting:-Chilli crab (OMG, so good. So messy. So much fun. We ate in silence as we concentrated on getting all the crab meat out. I may have flung some crab onto the glass window next to where we were sitting. Oops!)-Fried buns (Perfect for soaking up the chilli sauce).-Cereal Prawns (Skip! Do not believe the hype, it was not worth it).We were in an out within an hour and were very satisfied with our seafood feast.","['Hainan', 'Chicken Shop']",Tian Tian Hainanese Chicken Rice
Rita K.,2,2019-04-05,"Underwhelmed by the flavors and quality of the foods here. We arrived here on a Friday evening close to 8PM... we only had to wait about 10 minutes for a table of 2. The restaurant was packed and there were people waiting outside. They provided waters and chairs for those waiting. The restaurant is along the riverside which provided a nice view and very close to Clarke Quay center. We were seated at a large table with other groups of 2. It took awhile for the waiter to come by and take our orders; one of the customers had to flag the waiter down. We were provided tea and peanuts which we did not know cost additional. If we had known we would have skipped on the peanuts. We ordered the chili crab and pepper crab, along with fried rice and 2 buns. I don't know why my fiance thought it was a great idea to order 2 crab for just us 2. The foods came out very slowly... and it did not make sense. The ones who ordered last got their foods first. It took about 20 more minutes until our foods came out. The chili crab sauce was not good... It had a fishy taste to it and the crab meat was stuck on the shell; might have been overcooked. The fried rice with fried fish chunks were tasty though! The pepper crab came out way too late... by the time the rest of the table left our pepper crab finally came and we were too full. We ate it anyways... the flavors were odd. I didn't enjoy the flavors too much.At the end of the dinner I felt nauseous and had to go back to hotel. Something about the flavors made me nauseous. Total came out around $150 USD. Expensive! Napkins were non-existent. We asked for some but were ignored.","['Hainan', 'Chicken Shop']",Tian Tian Hainanese Chicken Rice
Lyssa A.,5,2019-03-16,"Came for the chili crab and was NOT disappointed. This stuff is so good and a cant miss in Singapore. I had found jumbo seafood on a list of best chili crab and had that recommendation seconded by a local so I couldn't say no! One chili crab is about the right size for two people and do no miss the bao buns on the side to soak up all that delicious chili crab sauce. Also prepared go get messy digging in! We had just a side of broccoli with the crab and honestly were so stuffed we didn't need any other sides. The wait was long but they take your name and number and Clarke Quay is a great place to walk around, so just expect it to take a little time for your turn!","['Hainan', 'Chicken Shop']",Tian Tian Hainanese Chicken Rice
